project,technology,operational_type,balancing_type_project,variable_om_cost_per_mwh,project_fuel_scenario_id,heat_rate_curves_scenario_id,variable_om_curves_scenario_id,startup_chars_scenario_id,min_stable_level_fraction,unit_size_mw,startup_cost_per_mw,shutdown_cost_per_mw,startup_fuel_mmbtu_per_mw,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,ramp_up_when_on_rate,ramp_down_when_on_rate,ramp_up_violation_penalty,ramp_down_violation_penalty,min_up_time_hours,min_up_time_violation_penalty,min_down_time_hours,min_down_time_violation_penalty,cycle_selection_scenario_id,charging_efficiency,discharging_efficiency,charging_capacity_multiplier,discharging_capacity_multiplier,minimum_duration_hours,maximum_duration_hours,aux_consumption_frac_capacity,aux_consumption_frac_power,last_commitment_stage,variable_generator_profile_scenario_id,curtailment_cost_per_pwh,hydro_operational_chars_scenario_id,lf_reserves_up_derate,lf_reserves_down_derate,regulation_up_derate,regulation_down_derate,frequency_response_derate,spinning_reserves_derate,lf_reserves_up_ramp_rate,lf_reserves_down_ramp_rate,regulation_up_ramp_rate,regulation_down_ramp_rate,frequency_response_ramp_rate,spinning_reserves_ramp_rate,powerunithour_per_fuelunit,cap_factor_limits_scenario_id
Bhusawal3,Genco_Coal,gen_commit_bin,day,4495.74917,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.1096,,,,,,,,,,,,,,,,,,
Bhusawal4,Genco_Coal,gen_commit_bin,day,4241.641608,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Bhusawal5,Genco_Coal,gen_commit_bin,day,4241.641608,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Bhusawal6,Genco_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Chandrapur3,Genco_Coal,gen_commit_bin,day,3138.879946,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur4,Genco_Coal,gen_commit_bin,day,3138.879946,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur5,Genco_Coal,gen_commit_bin,day,3138.879946,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur6,Genco_Coal,gen_commit_bin,day,3138.879946,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur7,Genco_Coal,gen_commit_bin,day,3138.879946,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur8,Genco_Coal,gen_commit_bin,day,3272.449305,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,
Chandrapur9,Genco_Coal,gen_commit_bin,day,3272.449305,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,
Khaperkheda1,Genco_Coal,gen_commit_bin,day,3868.624739,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda2,Genco_Coal,gen_commit_bin,day,3868.624739,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda3,Genco_Coal,gen_commit_bin,day,3868.624739,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda4,Genco_Coal,gen_commit_bin,day,3868.624739,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda5,Genco_Coal,gen_commit_bin,day,3430.452084,,,,,0.55,500,60540,,,0.00392,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Koradi10,Genco_Coal,gen_commit_bin,day,3632.435018,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,
Koradi6,Genco_Coal,gen_commit_bin,day,3661.755121,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
Koradi7,Genco_Coal,gen_commit_bin,day,3661.755121,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
Koradi8,Genco_Coal,gen_commit_bin,day,3632.435018,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,
Koradi9,Genco_Coal,gen_commit_bin,day,3632.435018,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,
Nasik3,Genco_Coal,gen_commit_bin,day,4987.675347,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
Nasik4,Genco_Coal,gen_commit_bin,day,4987.675347,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
Nasik5,Genco_Coal,gen_commit_bin,day,4987.675347,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
Nasik6,Genco_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Paras3,Genco_Coal,gen_commit_bin,day,4158.567982,,,,,0.55,250,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Paras4,Genco_Coal,gen_commit_bin,day,4158.567982,,,,,0.55,250,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Parli4,Genco_Coal,gen_commit_bin,day,4766.145678,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.1265,,,,,,,,,,,,,,,,,,
Parli5,Genco_Coal,gen_commit_bin,day,4766.145678,,,,,0.55,210,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.1265,,,,,,,,,,,,,,,,,,
Parli6,Genco_Coal,gen_commit_bin,day,4635.834108,,,,,0.55,250,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Parli7,Genco_Coal,gen_commit_bin,day,4635.834108,,,,,0.55,250,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Parli8,Genco_Coal,gen_commit_bin,day,4427.335596,,,,,0.55,250,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Uran_CCGT_APMG,Genco_Gas,gen_commit_bin,day,3065.579688,,,,,0.5,336,,,,0.008333334,0.016666667,0.04,0.04,,,8,,0,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
Uran_CCGT_RLNG,Genco_Gas,gen_commit_bin,day,17695.40475,,,,,0.5,336,,,,0.008333334,0.016666667,0.04,0.04,,,8,,0,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
Bhira,Genco_Hydro,gen_var,day,592.9176441,,,,,,80,,,,,,,,,,,,,,,,,,,,,,0.007,,1,,,,,,,,,,,,,,,,
Koyna_KDPH,Genco_Hydro,gen_var,day,363.2435018,,,,,,36,,,,,,,,,,,,,,,,,,,,,,0.0113,,1,,,,,,,,,,,,,,,,
Koyna_Stage_1,Genco_Hydro,gen_hydro,day,363.2435018,,,,,,70,,,,,,0.4,0.4,,,,,,,,,,,,,,,0.0113,,,,1,,,,,,,,,,,,,,
Koyna_Stage_2,Genco_Hydro,gen_hydro,day,363.2435018,,,,,,80,,,,,,0.4,0.4,,,,,,,,,,,,,,,0.0113,,,,1,,,,,,,,,,,,,,
Koyna_Stage_3,Genco_Hydro,gen_hydro,day,363.2435018,,,,,,80,,,,,,0.4,0.4,,,,,,,,,,,,,,,0.0113,,,,1,,,,,,,,,,,,,,
Koyna_Stage_4,Genco_Hydro,gen_hydro,day,363.2435018,,,,,0.7,250,,,,0.4,0.023333333,0.4,0.4,,,,,,,,,,,,,,,0.0113,,,,1,,,,,,,,,,,,,,
Tillari,Genco_Hydro,gen_var,day,353.470134,,,,,,66,,,,,,,,,,,,,,,,,,,,,,0.012,,1,,,,,,,,,,,,,,,,
Bagasse,Bagasse,gen_var_must_take,day,9317.277265,,,,,,20,,,,,,,,,,,,,,,,,,,,,,0.085,,1,,,,,,,,,,,,,,,,
SHP,SHP,gen_var,day,0,,,,,,141.8,,,,,,,,,,,,,,,,,,,,,,0.0079,,1,,,,,,,,,,,,,,,,
Gadarwara,Central_Coal,gen_commit_bin,day,2010.055969,,,,,0.55,50,62775.13027,,,0.00180303,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
Khargone,Central_Coal,gen_commit_bin,day,2969.474905,,,,,0.55,50,62775.13027,,,0.00180303,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
KhSTPSII,Central_Coal,gen_commit_bin,day,3609.630493,,,,,0.55,148,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
KSTPS,Central_Coal,gen_commit_bin,day,1887.888872,,,,,0.55,656,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
KSTPSIII,Central_Coal,gen_commit_bin,day,1858.568769,,,,,0.55,135,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
Lara,Central_Coal,gen_commit_bin,day,1417.138325,,,,,0.55,228,62775.13027,,,0.00180303,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
MaudaI,Central_Coal,gen_commit_bin,day,4204.177032,,,,,0.55,390.09,62775.13027,,,0.00180303,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
MaudaII,Central_Coal,gen_commit_bin,day,3959.842838,,,,,0.55,286.45,62775.13027,,,0.00180303,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SIPAT1,Central_Coal,gen_commit_bin,day,1855.31098,,,,,0.55,615,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SIPAT2,Central_Coal,gen_commit_bin,day,1887.888872,,,,,0.55,293,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SolapurI,Central_Coal,gen_commit_bin,day,4933.921825,,,,,0.55,328,62775.13027,,,0.00180303,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SolapurII,Central_Coal,gen_commit_bin,day,4142.279036,,,,,0.55,328,62775.13027,,,0.00180303,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPI,Central_Coal,gen_commit_bin,day,2285.339161,,,,,0.55,459,56900,,,0.004619048,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPII,Central_Coal,gen_commit_bin,day,2132.223066,,,,,0.55,356,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPIII,Central_Coal,gen_commit_bin,day,2146.883118,,,,,0.55,296,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPIV,Central_Coal,gen_commit_bin,day,2146.883118,,,,,0.55,323,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPV,Central_Coal,gen_commit_bin,day,2163.172064,,,,,0.55,175,60540,,,0.00392,0.006,0.015,0.015,,,24,,24,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
Gandhar,Central_Gas,gen_commit_bin,day,12000,,,,,0.5,200,,,,0.008333334,0.016666667,0.04,0.04,,,8,,0,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,
Kawas,Central_Gas,gen_commit_bin,day,12000,,,,,0.5,102,,,,0.008333334,0.016666667,0.04,0.04,,,8,,0,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,
Dodson_I,Private_Hydro,gen_hydro,day,3977.760679,,,,,,12,,,,,,0.4,0.4,,,,,,,,,,,,,,,0.01,,,,1,,,,,,,,,,,,,,
Dodson_II,Private_Hydro,gen_hydro,day,2951.557064,,,,,,34,,,,,,0.4,0.4,,,,,,,,,,,,,,,0.01,,,,1,,,,,,,,,,,,,,
Pench,Central_Hydro,gen_hydro,day,3306.656092,,,,,,53,,,,,,0.4,0.4,,,,,,,,,,,,,,,0.01,,,,1,,,,,,,,,,,,,,
Sardar_Sarovar_CHPH,Central_Hydro,gen_hydro,day,3306.656092,,,,,,67.5,,,,,,0.4,0.4,,,,,,,,,,,,,,,0.01,,,,1,,,,,,,,,,,,,,
KAPP,Nuclear,gen_must_run,day,3713.879749,,,,,1,150,,,,0.000416667,0.000416667,0.005,0.005,,,48,,48,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
TAPP_1_2,Nuclear,gen_must_run,day,1580.027788,,,,,1,160,,,,0.00041625,0.00041625,0.005,0.005,,,48,,48,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
TAPP_3_4,Nuclear,gen_must_run,day,4642.349686,,,,,1,438,,,,0.000416667,0.000416667,0.005,0.005,,,48,,48,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Adani_Stage_1_1,Private_Coal,gen_commit_bin,day,3111.188737,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Adani_Stage_1_2,Private_Coal,gen_commit_bin,day,3111.188737,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Adani_Stage_2_1,Private_Coal,gen_commit_bin,day,3974.502889,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Adani_Stage_2_2,Private_Coal,gen_commit_bin,day,3974.502889,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Adani_Stage_2_445_MW,Private_Coal,gen_commit_bin,day,4072.236567,,,,,0.55,445,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Emco,Private_Coal,gen_commit_bin,day,2980.877167,,,,,0.55,200,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_1,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,270,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_2,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,270,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_3,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,270,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_4,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,270,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
IndiaBulls_Balance,Private_Coal,gen_commit_bin,day,5114.729128,,,,,0.55,120,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
JSW,Private_Coal,gen_commit_bin,day,3779.035534,,,,,0.55,300,56900,,,0.004619048,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Tata_Mundra,Private_Coal,gen_commit_bin,day,2655.098242,,,,,0.55,800,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
FlexibleGas,Market_FlexibleGen,gen_simple,day,12000,,,,,,2000,,,,,,0.04,0.04,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Market_NonPeak,Market_FlexibleGen,gen_commit_bin,day,6500,,,,,1,2000,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Market_Peak,Market_FlexibleGen,gen_commit_bin,day,10000,,,,,1,2000,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Ghatghar,Hydro_PS,stor,day,0,,,,,,125,,,,,,0.4,0.4,,,,,,,,0.75,0.985,1.2,,,,,0.015,,,,,,,,,,,,,,,,,,
Sardar_Sarovar_RBPH_PSP,Hydro_PS,stor,day,3472,,,,,,324,,,,,,0.4,0.4,,,,,,,,0.75,0.985,1.333333333,,,,,0.01,,,,,,,,,,,,,,,,,,
Solar_Existing,Solar,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Solar_Fixed_Tilt,Solar,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Solar_Single_Axis,Solar,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Wind_Existing,Wind,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
Wind_New,Wind,gen_var,day,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,
660MW_1,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_2,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_3,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_4,New_Coal,gen_commit_bin,day,4489.640815,,,,,0.55,660,62775.13027,,,0.00180303,0.006,0.01,0.01,,,24,,24,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
BESS_4_hr_Exo,Battery,stor,day,0,,,,,,2500,,,,,,,,,,,,,,,0.95,0.95,,,,,,0,,,,,,,,,,,,,,,,,,
BESS_6_hr_Exo,Battery,stor,day,0,,,,,,3000,,,,,,,,,,,,,,,0.95,0.95,,,,,,0,,,,,,,,,,,,,,,,,,
