project,technology,operational_type,balancing_type_project,variable_om_cost_per_mwh,project_fuel_scenario_id,heat_rate_curves_scenario_id,variable_om_curves_scenario_id,startup_chars_scenario_id,min_stable_level_fraction,unit_size_mw,startup_cost_per_mw,shutdown_cost_per_mw,startup_fuel_mmbtu_per_mw,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,ramp_up_when_on_rate,ramp_down_when_on_rate,ramp_up_violation_penalty,ramp_down_violation_penalty,min_up_time_hours,min_up_time_violation_penalty,min_down_time_hours,min_down_time_violation_penalty,cycle_selection_scenario_id,supplemental_firing_scenario_id,allow_startup_shutdown_power,charging_efficiency,discharging_efficiency,charging_capacity_multiplier,discharging_capacity_multiplier,minimum_duration_hours,maximum_duration_hours,aux_consumption_frac_capacity,aux_consumption_frac_power,last_commitment_stage,variable_generator_profile_scenario_id,curtailment_cost_per_pwh,hydro_operational_chars_scenario_id,lf_reserves_up_derate,lf_reserves_down_derate,regulation_up_derate,regulation_down_derate,frequency_response_derate,spinning_reserves_derate,lf_reserves_up_ramp_rate,lf_reserves_down_ramp_rate,regulation_up_ramp_rate,regulation_down_ramp_rate,frequency_response_ramp_rate,spinning_reserves_ramp_rate,powerunithour_per_fuelunit,cap_factor_limits_scenario_id
Bhusawal3,Genco_Coal,gen_commit_cap,month,4495.74917,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.1096,,,,,,,,,,,,,,,,,,
Bhusawal4,Genco_Coal,gen_commit_cap,month,4241.641608,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Bhusawal5,Genco_Coal,gen_commit_cap,month,4241.641608,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Bhusawal6,Genco_Coal,gen_commit_cap,month,4489.640815,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Chandrapur3,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur4,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur5,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur6,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur7,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur8,Genco_Coal,gen_commit_cap,month,3272.449305,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,
Chandrapur9,Genco_Coal,gen_commit_cap,month,3272.449305,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,
Khaperkheda1,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda2,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda3,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda4,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda5,Genco_Coal,gen_commit_cap,month,3430.452084,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Koradi10,Genco_Coal,gen_commit_cap,month,3632.435018,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,
Koradi6,Genco_Coal,gen_commit_cap,month,3661.755121,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
Koradi7,Genco_Coal,gen_commit_cap,month,3661.755121,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
Koradi8,Genco_Coal,gen_commit_cap,month,3632.435018,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,
Koradi9,Genco_Coal,gen_commit_cap,month,3632.435018,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,
Nasik3,Genco_Coal,gen_commit_cap,month,4987.675347,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
Nasik4,Genco_Coal,gen_commit_cap,month,4987.675347,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
Nasik5,Genco_Coal,gen_commit_cap,month,4987.675347,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
Nasik6,Genco_Coal,gen_commit_cap,month,4489.640815,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Paras3,Genco_Coal,gen_commit_cap,month,4158.567982,,,,,0.55,250,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Paras4,Genco_Coal,gen_commit_cap,month,4158.567982,,,,,0.55,250,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Parli4,Genco_Coal,gen_commit_cap,month,4766.145678,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.1265,,,,,,,,,,,,,,,,,,
Parli5,Genco_Coal,gen_commit_cap,month,4766.145678,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.1265,,,,,,,,,,,,,,,,,,
Parli6,Genco_Coal,gen_commit_cap,month,4635.834108,,,,,0.55,250,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Parli7,Genco_Coal,gen_commit_cap,month,4635.834108,,,,,0.55,250,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Parli8,Genco_Coal,gen_commit_cap,month,4427.335596,,,,,0.55,250,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,
Uran_CCGT_APMG,Genco_Gas,gen_commit_cap,month,3065.579688,,,,,0.5,336,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
Uran_CCGT_RLNG,Genco_Gas,gen_commit_cap,month,17695.40475,,,,,0.5,336,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,
Bhira,Genco_Hydro,gen_var,month,592.9176441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,1,,,,,,,,,,,,,,,,
Koyna_KDPH,Genco_Hydro,gen_var,month,363.2435018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113,,1,,,,,,,,,,,,,,,,
Koyna_Stage_1,Genco_Hydro,gen_hydro,month,363.2435018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113,,,,2,,,,,,,,,,,,,,
Koyna_Stage_2,Genco_Hydro,gen_hydro,month,363.2435018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113,,,,2,,,,,,,,,,,,,,
Koyna_Stage_3,Genco_Hydro,gen_hydro,month,363.2435018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113,,,,2,,,,,,,,,,,,,,
Koyna_Stage_4,Genco_Hydro,gen_hydro,month,363.2435018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0113,,,,2,,,,,,,,,,,,,,
Tillari,Genco_Hydro,gen_var,month,353.470134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,1,,,,,,,,,,,,,,,,
Bagasse,Bagasse,gen_var_must_take,month,9317.277265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,1,,,,,,,,,,,,,,,,
SHP,SHP,gen_var,month,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0079,,1,,,,,,,,,,,,,,,,
Gadarwara,Central_Coal,gen_commit_cap,month,2010.055969,,,,,0.55,50,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
Khargone,Central_Coal,gen_commit_cap,month,2969.474905,,,,,0.55,50,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
KhSTPSII,Central_Coal,gen_commit_cap,month,3609.630493,,,,,0.55,148,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
KSTPS,Central_Coal,gen_commit_cap,month,1887.888872,,,,,0.55,656,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
KSTPSIII,Central_Coal,gen_commit_cap,month,1858.568769,,,,,0.55,135,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
Lara,Central_Coal,gen_commit_cap,month,1417.138325,,,,,0.55,228,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
MaudaI,Central_Coal,gen_commit_cap,month,4204.177032,,,,,0.55,390.09,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
MaudaII,Central_Coal,gen_commit_cap,month,3959.842838,,,,,0.55,286.45,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SIPAT1,Central_Coal,gen_commit_cap,month,1855.31098,,,,,0.55,615,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SIPAT2,Central_Coal,gen_commit_cap,month,1887.888872,,,,,0.55,293,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SolapurI,Central_Coal,gen_commit_cap,month,4933.921825,,,,,0.55,328,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
SolapurII,Central_Coal,gen_commit_cap,month,4142.279036,,,,,0.55,328,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPI,Central_Coal,gen_commit_cap,month,2285.339161,,,,,0.55,459,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPII,Central_Coal,gen_commit_cap,month,2132.223066,,,,,0.55,356,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPIII,Central_Coal,gen_commit_cap,month,2146.883118,,,,,0.55,296,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPIV,Central_Coal,gen_commit_cap,month,2146.883118,,,,,0.55,323,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
VSTPV,Central_Coal,gen_commit_cap,month,2163.172064,,,,,0.55,175,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,,,,,
Gandhar,Central_Gas,gen_commit_cap,month,12000,,,,,0.5,200,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,
Kawas,Central_Gas,gen_commit_cap,month,12000,,,,,0.5,102,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,
Dodson_I,Private_Hydro,gen_hydro,month,3977.760679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,1,,,,,,,,,,,,,,
Dodson_II,Private_Hydro,gen_hydro,month,2951.557064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,1,,,,,,,,,,,,,,
Pench,Central_Hydro,gen_hydro,month,3306.656092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,2,,,,,,,,,,,,,,
Sardar_Sarovar_CHPH,Central_Hydro,gen_hydro,month,3306.656092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,2,,,,,,,,,,,,,,
KAPP,Nuclear,gen_must_run,month,3713.879749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAPP_1_2,Nuclear,gen_must_run,month,1580.027788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAPP_3_4,Nuclear,gen_must_run,month,4642.349686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani_Stage_1_1,Private_Coal,gen_commit_cap,month,3111.188737,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani_Stage_1_2,Private_Coal,gen_commit_cap,month,3111.188737,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani_Stage_2_1,Private_Coal,gen_commit_cap,month,3974.502889,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani_Stage_2_2,Private_Coal,gen_commit_cap,month,3974.502889,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani_Stage_2_445_MW,Private_Coal,gen_commit_cap,month,4072.236567,,,,,0.55,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emco,Private_Coal,gen_commit_cap,month,2980.877167,,,,,0.55,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndiaBulls_1,Private_Coal,gen_commit_cap,month,5114.729128,,,,,0.55,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndiaBulls_2,Private_Coal,gen_commit_cap,month,5114.729128,,,,,0.55,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndiaBulls_3,Private_Coal,gen_commit_cap,month,5114.729128,,,,,0.55,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndiaBulls_4,Private_Coal,gen_commit_cap,month,5114.729128,,,,,0.55,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndiaBulls_Balance,Private_Coal,gen_commit_cap,month,5114.729128,,,,,0.55,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSW,Private_Coal,gen_commit_cap,month,3779.035534,,,,,0.55,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata_Mundra,Private_Coal,gen_commit_cap,month,2655.098242,,,,,0.55,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlexibleGas,Market_FlexibleGen,gen_simple,month,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market_NonPeak,Market_FlexibleGen,gen_commit_cap,month,6500,,,,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market_Peak,Market_FlexibleGen,gen_commit_cap,month,10000,,,,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatghar,Hydro_PS,stor,month,0,,,,,,,,,,,,,,,,,,,,,,,0.75,0.985,1.2,,,,,0.015,,,,,,,,,,,,,,,,,,
Sardar_Sarovar_RBPH_PSP,Hydro_PS,stor,month,3472,,,,,,,,,,,,,,,,,,,,,,,0.75,0.985,1.333333333,,,,,0.01,,,,,,,,,,,,,,,,,,
Solar_Existing,Solar,gen_var,month,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Solar_Fixed_Tilt,Solar,gen_var,month,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Solar_Single_Axis,Solar,gen_var,month,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wind_Existing,Wind,gen_var,month,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wind_New,Wind,gen_var,month,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
660MW_1,New_Coal,gen_commit_cap,month,4489.640815,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_2,New_Coal,gen_commit_cap,month,4489.640815,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_3,New_Coal,gen_commit_cap,month,4489.640815,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
660MW_4,New_Coal,gen_commit_cap,month,4489.640815,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
BESS_4_hr_Exo,Battery,stor,month,0,,,,,,,,,,,,,,,,,,,,,,,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,
BESS_6_hr_Exo,Battery,stor,month,0,,,,,,,,,,,,,,,,,,,,,,,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,
