balancing_type_project,horizon,period,average_power_fraction,min_power_fraction,max_power_fraction
year,2030,2030,0.316438356,0,0.722826087
month,203001,2030,0.247252747,0.082417582,0.247252747
month,203002,2030,0.247252747,0.082417582,0.247252747
month,203003,2030,0.210700687,0.082417582,0.247252747
month,203004,2030,0.139867354,0.097826087,0.722826087
month,203005,2030,0.171324665,0.097826087,0.722826087
month,203006,2030,0.251673351,0.097826087,0.722826087
month,203007,2030,0.308345615,0.266304348,0.570652174
month,203008,2030,0.570652174,0.266304348,0.570652174
month,203009,2030,0.308345615,0.266304348,0.570652174
month,203010,2030,0.368713432,0,0.505555556
month,203011,2030,0.486563978,0,0.505555556
month,203012,2030,0.505555556,0,0.505555556
day,2030001,2030,0.247252747,0,1
day,2030002,2030,0.247252747,0,1
day,2030003,2030,0.247252747,0,1
day,2030004,2030,0.247252747,0,1
day,2030005,2030,0.247252747,0,1
day,2030006,2030,0.247252747,0,1
day,2030007,2030,0.247252747,0,1
day,2030008,2030,0.247252747,0,1
day,2030009,2030,0.247252747,0,1
day,2030010,2030,0.247252747,0,1
day,2030011,2030,0.247252747,0,1
day,2030012,2030,0.247252747,0,1
day,2030013,2030,0.247252747,0,1
day,2030014,2030,0.247252747,0,1
day,2030015,2030,0.247252747,0,1
day,2030016,2030,0.247252747,0,1
day,2030017,2030,0.247252747,0,1
day,2030018,2030,0.247252747,0,1
day,2030019,2030,0.247252747,0,1
day,2030020,2030,0.247252747,0,1
day,2030021,2030,0.247252747,0,1
day,2030022,2030,0.247252747,0,1
day,2030023,2030,0.247252747,0,1
day,2030024,2030,0.247252747,0,1
day,2030025,2030,0.247252747,0,1
day,2030026,2030,0.247252747,0,1
day,2030027,2030,0.247252747,0,1
day,2030028,2030,0.247252747,0,1
day,2030029,2030,0.247252747,0,1
day,2030030,2030,0.247252747,0,1
day,2030031,2030,0.247252747,0,1
day,2030032,2030,0.247252747,0,1
day,2030033,2030,0.247252747,0,1
day,2030034,2030,0.247252747,0,1
day,2030035,2030,0.247252747,0,1
day,2030036,2030,0.247252747,0,1
day,2030037,2030,0.082417582,0,1
day,2030038,2030,0.082417582,0,1
day,2030039,2030,0.247252747,0,1
day,2030040,2030,0.247252747,0,1
day,2030041,2030,0.247252747,0,1
day,2030042,2030,0.247252747,0,1
day,2030043,2030,0.247252747,0,1
day,2030044,2030,0.082417582,0,1
day,2030045,2030,0.082417582,0,1
day,2030046,2030,0.082417582,0,1
day,2030047,2030,0.082417582,0,1
day,2030048,2030,0.082417582,0,1
day,2030049,2030,0.082417582,0,1
day,2030050,2030,0.108871586,0,1
day,2030051,2030,0.082417582,0,1
day,2030052,2030,0.247252747,0,1
day,2030053,2030,0.247252747,0,1
day,2030054,2030,0.082417582,0,1
day,2030055,2030,0.082417582,0,1
day,2030056,2030,0.082417582,0,1
day,2030057,2030,0.082417582,0,1
day,2030058,2030,0.082417582,0,1
day,2030059,2030,0.082417582,0,1
day,2030060,2030,0.082417582,0,1
day,2030061,2030,0.082417582,0,1
day,2030062,2030,0.247252747,0,1
day,2030063,2030,0.247252747,0,1
day,2030064,2030,0.247252747,0,1
day,2030065,2030,0.247252747,0,1
day,2030066,2030,0.082417582,0,1
day,2030067,2030,0.247252747,0,1
day,2030068,2030,0.082417582,0,1
day,2030069,2030,0.082417582,0,1
day,2030070,2030,0.203728972,0,1
day,2030071,2030,0.247252747,0,1
day,2030072,2030,0.247252747,0,1
day,2030073,2030,0.247252747,0,1
day,2030074,2030,0.247252747,0,1
day,2030075,2030,0.247252747,0,1
day,2030076,2030,0.082417582,0,1
day,2030077,2030,0.247252747,0,1
day,2030078,2030,0.247252747,0,1
day,2030079,2030,0.082417582,0,1
day,2030080,2030,0.082417582,0,1
day,2030081,2030,0.082417582,0,1
day,2030082,2030,0.082417582,0,1
day,2030083,2030,0.082417582,0,1
day,2030084,2030,0.082417582,0,1
day,2030085,2030,0.082417582,0,1
day,2030086,2030,0.082417582,0,1
day,2030087,2030,0.082417582,0,1
day,2030088,2030,0.082417582,0,1
day,2030089,2030,0.082417582,0,1
day,2030090,2030,0.082417582,0,1
day,2030091,2030,0.082417582,0,1
day,2030092,2030,0.097826087,0,1
day,2030093,2030,0.097826087,0,1
day,2030094,2030,0.097826087,0,1
day,2030095,2030,0.097826087,0,1
day,2030096,2030,0.097826087,0,1
day,2030097,2030,0.097826087,0,1
day,2030098,2030,0.097826087,0,1
day,2030099,2030,0.722826087,0,1
day,2030100,2030,0.722826087,0,1
day,2030101,2030,0.722826087,0,1
day,2030102,2030,0.097826087,0,1
day,2030103,2030,0.097826087,0,1
day,2030104,2030,0.097826087,0,1
day,2030105,2030,0.097826087,0,1
day,2030106,2030,0.097826087,0,1
day,2030107,2030,0.097826087,0,1
day,2030108,2030,0.097826087,0,1
day,2030109,2030,0.097826087,0,1
day,2030110,2030,0.097826087,0,1
day,2030111,2030,0.097826087,0,1
day,2030112,2030,0.097826087,0,1
day,2030113,2030,0.097826087,0,1
day,2030114,2030,0.097826087,0,1
day,2030115,2030,0.097826087,0,1
day,2030116,2030,0.097826087,0,1
day,2030117,2030,0.097826087,0,1
day,2030118,2030,0.097826087,0,1
day,2030119,2030,0.097826087,0,1
day,2030120,2030,0.097826087,0,1
day,2030121,2030,0.097826087,0,1
day,2030122,2030,0.392137236,0,1
day,2030123,2030,0.097826087,0,1
day,2030124,2030,0.097826087,0,1
day,2030125,2030,0.097826087,0,1
day,2030126,2030,0.097826087,0,1
day,2030127,2030,0.097826087,0,1
day,2030128,2030,0.097826087,0,1
day,2030129,2030,0.722826087,0,1
day,2030130,2030,0.097826087,0,1
day,2030131,2030,0.722826087,0,1
day,2030132,2030,0.722826087,0,1
day,2030133,2030,0.097826087,0,1
day,2030134,2030,0.097826087,0,1
day,2030135,2030,0.097826087,0,1
day,2030136,2030,0.392137236,0,1
day,2030137,2030,0.097826087,0,1
day,2030138,2030,0.097826087,0,1
day,2030139,2030,0.097826087,0,1
day,2030140,2030,0.097826087,0,1
day,2030141,2030,0.097826087,0,1
day,2030142,2030,0.097826087,0,1
day,2030143,2030,0.097826087,0,1
day,2030144,2030,0.097826087,0,1
day,2030145,2030,0.097826087,0,1
day,2030146,2030,0.097826087,0,1
day,2030147,2030,0.097826087,0,1
day,2030148,2030,0.097826087,0,1
day,2030149,2030,0.097826087,0,1
day,2030150,2030,0.097826087,0,1
day,2030151,2030,0.097826087,0,1
day,2030152,2030,0.097826087,0,1
day,2030153,2030,0.097826087,0,1
day,2030154,2030,0.097826087,0,1
day,2030155,2030,0.097826087,0,1
day,2030156,2030,0.097826087,0,1
day,2030157,2030,0.097826087,0,1
day,2030158,2030,0.722826087,0,1
day,2030159,2030,0.722826087,0,1
day,2030160,2030,0.722826087,0,1
day,2030161,2030,0.097826087,0,1
day,2030162,2030,0.322159457,0,1
day,2030163,2030,0.097826087,0,1
day,2030164,2030,0.097826087,0,1
day,2030165,2030,0.097826087,0,1
day,2030166,2030,0.097826087,0,1
day,2030167,2030,0.097826087,0,1
day,2030168,2030,0.097826087,0,1
day,2030169,2030,0.097826087,0,1
day,2030170,2030,0.097826087,0,1
day,2030171,2030,0.097826087,0,1
day,2030172,2030,0.097826087,0,1
day,2030173,2030,0.097826087,0,1
day,2030174,2030,0.097826087,0,1
day,2030175,2030,0.097826087,0,1
day,2030176,2030,0.097826087,0,1
day,2030177,2030,0.097826087,0,1
day,2030178,2030,0.097826087,0,1
day,2030179,2030,0.097826087,0,1
day,2030180,2030,0.097826087,0,1
day,2030181,2030,0.097826087,0,1
day,2030182,2030,0.097826087,0,1
day,2030183,2030,0.097826087,0,1
day,2030184,2030,0.570652174,0,1
day,2030185,2030,0.570652174,0,1
day,2030186,2030,0.570652174,0,1
day,2030187,2030,0.570652174,0,1
day,2030188,2030,0.570652174,0,1
day,2030189,2030,0.570652174,0,1
day,2030190,2030,0.570652174,0,1
day,2030191,2030,0.570652174,0,1
day,2030192,2030,0.570652174,0,1
day,2030193,2030,0.570652174,0,1
day,2030194,2030,0.570652174,0,1
day,2030195,2030,0.570652174,0,1
day,2030196,2030,0.570652174,0,1
day,2030197,2030,0.570652174,0,1
day,2030198,2030,0.570652174,0,1
day,2030199,2030,0.570652174,0,1
day,2030200,2030,0.570652174,0,1
day,2030201,2030,0.570652174,0,1
day,2030202,2030,0.570652174,0,1
day,2030203,2030,0.570652174,0,1
day,2030204,2030,0.570652174,0,1
day,2030205,2030,0.570652174,0,1
day,2030206,2030,0.570652174,0,1
day,2030207,2030,0.570652174,0,1
day,2030208,2030,0.570652174,0,1
day,2030209,2030,0.570652174,0,1
day,2030210,2030,0.570652174,0,1
day,2030211,2030,0.570652174,0,1
day,2030212,2030,0.570652174,0,1
day,2030213,2030,0.570652174,0,1
day,2030214,2030,0.570652174,0,1
day,2030215,2030,0.570652174,0,1
day,2030216,2030,0.570652174,0,1
day,2030217,2030,0.570652174,0,1
day,2030218,2030,0.570652174,0,1
day,2030219,2030,0.570652174,0,1
day,2030220,2030,0.570652174,0,1
day,2030221,2030,0.570652174,0,1
day,2030222,2030,0.570652174,0,1
day,2030223,2030,0.570652174,0,1
day,2030224,2030,0.570652174,0,1
day,2030225,2030,0.570652174,0,1
day,2030226,2030,0.570652174,0,1
day,2030227,2030,0.570652174,0,1
day,2030228,2030,0.570652174,0,1
day,2030229,2030,0.570652174,0,1
day,2030230,2030,0.570652174,0,1
day,2030231,2030,0.570652174,0,1
day,2030232,2030,0.570652174,0,1
day,2030233,2030,0.570652174,0,1
day,2030234,2030,0.570652174,0,1
day,2030235,2030,0.570652174,0,1
day,2030236,2030,0.570652174,0,1
day,2030237,2030,0.570652174,0,1
day,2030238,2030,0.570652174,0,1
day,2030239,2030,0.570652174,0,1
day,2030240,2030,0.570652174,0,1
day,2030241,2030,0.570652174,0,1
day,2030242,2030,0.570652174,0,1
day,2030243,2030,0.570652174,0,1
day,2030244,2030,0.570652174,0,1
day,2030245,2030,0.266304348,0,1
day,2030246,2030,0.266304348,0,1
day,2030247,2030,0.266304348,0,1
day,2030248,2030,0.266304348,0,1
day,2030249,2030,0.266304348,0,1
day,2030250,2030,0.266304348,0,1
day,2030251,2030,0.266304348,0,1
day,2030252,2030,0.305180715,0,1
day,2030253,2030,0.266304348,0,1
day,2030254,2030,0.266304348,0,1
day,2030255,2030,0.570652174,0,1
day,2030256,2030,0.570652174,0,1
day,2030257,2030,0.570652174,0,1
day,2030258,2030,0.570652174,0,1
day,2030259,2030,0.570652174,0,1
day,2030260,2030,0.266304348,0,1
day,2030261,2030,0.266304348,0,1
day,2030262,2030,0.266304348,0,1
day,2030263,2030,0.266304348,0,1
day,2030264,2030,0.266304348,0,1
day,2030265,2030,0.266304348,0,1
day,2030266,2030,0.266304348,0,1
day,2030267,2030,0.266304348,0,1
day,2030268,2030,0.266304348,0,1
day,2030269,2030,0.266304348,0,1
day,2030270,2030,0.266304348,0,1
day,2030271,2030,0.266304348,0,1
day,2030272,2030,0.266304348,0,1
day,2030273,2030,0.266304348,0,1
day,2030274,2030,0.570652174,0,1
day,2030275,2030,0.570652174,0,1
day,2030276,2030,0,0,1
day,2030277,2030,0.505555556,0,1
day,2030278,2030,0.263002756,0,1
day,2030279,2030,0.505555556,0,1
day,2030280,2030,0.505555556,0,1
day,2030281,2030,0.505555556,0,1
day,2030282,2030,0.505555556,0,1
day,2030283,2030,0,0,1
day,2030284,2030,0,0,1
day,2030285,2030,0,0,1
day,2030286,2030,0,0,1
day,2030287,2030,0,0,1
day,2030288,2030,0,0,1
day,2030289,2030,0.505555556,0,1
day,2030290,2030,0.505555556,0,1
day,2030291,2030,0.505555556,0,1
day,2030292,2030,0.505555556,0,1
day,2030293,2030,0.505555556,0,1
day,2030294,2030,0.505555556,0,1
day,2030295,2030,0,0,1
day,2030296,2030,0.505555556,0,1
day,2030297,2030,0.505555556,0,1
day,2030298,2030,0,0,1
day,2030299,2030,0,0,1
day,2030300,2030,0,0,1
day,2030301,2030,0,0,1
day,2030302,2030,0,0,1
day,2030303,2030,0.505555556,0,1
day,2030304,2030,0.505555556,0,1
day,2030305,2030,0,0,1
day,2030306,2030,0,0,1
day,2030307,2030,0.505555556,0,1
day,2030308,2030,0.505555556,0,1
day,2030309,2030,0.505555556,0,1
day,2030310,2030,0.505555556,0,1
day,2030311,2030,0.505555556,0,1
day,2030312,2030,0.505555556,0,1
day,2030313,2030,0.505555556,0,1
day,2030314,2030,0.505555556,0,1
day,2030315,2030,0.505555556,0,1
day,2030316,2030,0.505555556,0,1
day,2030317,2030,0.505555556,0,1
day,2030318,2030,0.505555556,0,1
day,2030319,2030,0.505555556,0,1
day,2030320,2030,0.505555556,0,1
day,2030321,2030,0.505555556,0,1
day,2030322,2030,0.505555556,0,1
day,2030323,2030,0.505555556,0,1
day,2030324,2030,0.505555556,0,1
day,2030325,2030,0.505555556,0,1
day,2030326,2030,0.505555556,0,1
day,2030327,2030,0.505555556,0,1
day,2030328,2030,0.505555556,0,1
day,2030329,2030,0.505555556,0,1
day,2030330,2030,0.505555556,0,1
day,2030331,2030,0.505555556,0,1
day,2030332,2030,0.505555556,0,1
day,2030333,2030,0.505555556,0,1
day,2030334,2030,0.505555556,0,1
day,2030335,2030,0.505555556,0,1
day,2030336,2030,0.505555556,0,1
day,2030337,2030,0.505555556,0,1
day,2030338,2030,0.505555556,0,1
day,2030339,2030,0.505555556,0,1
day,2030340,2030,0.505555556,0,1
day,2030341,2030,0.505555556,0,1
day,2030342,2030,0.505555556,0,1
day,2030343,2030,0.505555556,0,1
day,2030344,2030,0.505555556,0,1
day,2030345,2030,0.505555556,0,1
day,2030346,2030,0.505555556,0,1
day,2030347,2030,0.505555556,0,1
day,2030348,2030,0.505555556,0,1
day,2030349,2030,0.505555556,0,1
day,2030350,2030,0.505555556,0,1
day,2030351,2030,0.505555556,0,1
day,2030352,2030,0.505555556,0,1
day,2030353,2030,0.505555556,0,1
day,2030354,2030,0.505555556,0,1
day,2030355,2030,0.505555556,0,1
day,2030356,2030,0.505555556,0,1
day,2030357,2030,0.505555556,0,1
day,2030358,2030,0.505555556,0,1
day,2030359,2030,0.505555556,0,1
day,2030360,2030,0.505555556,0,1
day,2030361,2030,0.505555556,0,1
day,2030362,2030,0.505555556,0,1
day,2030363,2030,0.505555556,0,1
day,2030364,2030,0.505555556,0,1
day,2030365,2030,0.505555556,0,1
